tcell_activation_GO.0042110	cd4tcell_exhaustion_crawford	tcell_costimulation_chen	cell_anergy_safford	cell_senescence_fridman	tfh_signature_locci	cell_cycling_best	cell_cytotoxicity_patil	treg_signature_simone	tfr_signature_guo	tcell_activation_flu	cd8_activation_covid19	tcr_signaling_RHSA202403	tcell_interleukin_seumois	treg_signature_schmiedle	th2_signature0_arlehamn	th1_signature1_arlehamn	th17_signature2_arlehamndan	type1n2_interferon_broadreact	th2_il9_micosse	trm_lung_clarke	nontrm_lung_clarke	trm_tumor_clarke	nontrm_tumor_clarke	cluster5_sctrm_clarke	cluster2_sctrm_clarke	cluster3_sctrm_clarke	cluster4_sctrm_clarke	dixhaust_consensus1_vj	dixhaust_consensus2_vj	tcell_cytotoxicity_guo	tcell_virusresponse_fuchs	temra_signature1_pereira	temra_signature2_pereira	temra_signature6_pereira	hallmarkglycolisis_signature_gsea	glycolysisgluconeo_signature_kegggsea	early_eff_late_mem_v_key_best	g0n1_signature_dolatabadi	hallmark_g2m_checkpoint	hallmark_glycolysis	hallmark_interferon_gamma_response	hallmark_oxidative_phosphorylation	hallmark_reactive_oxigen_species	initial_cytokine_or_eff_resp_i_key_best	late_eff_or_mem_x_key_best	late_mem_specific_best	mem_precursor_vii_key_best	mem_specific_6_best	naive_late_mem_iv_key_best	naive_or_late_eff_or_mem_viii_key_best	naive_tcm_tem_eff	reactome_interferon_gamma_signaling_biw	short_term_eff_mem_vi_key_best	short_term_eff_or_mem_ix_key_best	st_ifng_biw
	LGALS1				CD38	GM8681	MLC1	TIGIT			TAGAP	TRBV12-3	PLIN2	VAV3	MSH2	EPS8	LENG8	IFI30		ASCC3	TCOF1	SNAP47		MAP3K8				PLSCR1							LCT				MTF2	LCT	NFKB1	MRPS30													
	NEK7				C14ORF72	CDK2	SLCO4C1	CRADD			PSMB3	TRBV7-9	IL15RA	RHOXF1	SESN3	FBP1	S100A11	PTPN1		VDAC1	HIVEP3	SYNGR3		AUTS2				KPNA2							LDHA				MYBL2	LDHA	NFKBIA	MTRF1													
	GSPT2				ASB2	HIST3H2A	AC092580.4	RAB30			EBNA1BP2	TRBC1	PHLDA1	WBSCR27	RHOF	KIAA1671	USP46	JAK2		KIF21B	KEAP1	RBBP9		RPL3				PYHIN1							LDHC				MYC	LDHC	NLRC5	MTRR													
	MAPRE2				KIFC1	GM12260	CRIM1	RP11-536K7.3			FKBP2	TRAV8-4	FOS	CLNK	ANAPC2	CELA1	GNB2	PSMB10		LAG3	ARRDC3	C1orf106		MYBL1				SIT1							LHPP				NASP	LHPP	NMI	MTX2													
	KIF15				RDH10	AURKB	RUNX3	TNIP3			DNAJC15	TRAV29DV5	PSMD13	CCRL2	CTNNBIP1	TYROBP	PHTF2	HLA-E		ARHGAP11A	NMUR1	FASLG		MIR29A				CREM							LHX9				NCL	LHX9	NOD1	NDUFA1													
	CDK6				LRMP	ATAD5	FGL2	CASP1P2			PRDX5	TRAV19	YWHAZ	NCAPG	GPX4	LOC100507050	ST6GALNAC2	IL15		HUWE1	EIF2B3	RGS16		RPS8				IDH2							MDH1				NDC80	MDH1	NUP93	NDUFA2													
	TIMP2				C17ORF96	BC030867	FCER1G	VAV3			MARS	TRAC	PSME4	SH3RF2	C3orf52	OBSCN	WIPI1	MVP		DOCK5	UBA7	CCNA2		PTMA				MPG							MDH2				NEK2	MDH2	OAS2	NDUFA3													
	CNTLN				SERP2	EME1	PTGDR	LAX1			LAG3	SEM1	CRK	F5	BLOC1S3	ADAMTS10	DUSP4	FAS		TNF	NOSIP	SLC16A6		EEF1A1				CHST12							ME1				NOLC1	ME1	OAS3	NDUFA4													
	PLK3				DDIT4	BRCA1	HLA-DPA1	LINC00519			SAMSN1	PSMB11	PTPN7	NEIL3	JUNB	LOC653075	METTL21A	HIF1A		ATP2B1	APOL1	CCRL2		RPS12				CASP1							ME2				NOTCH2	ME2	OASL	NDUFA5													
	POLG2				P2RY11	TK1	WIPI1	LINC00152			AIMP2	FYB1	PSMD10	IRAK3	TTN	SLC27A3	FOXP3	VAMP5		LZTS1	NKX3-1	GINS1		CLU				CTSD							MED24				NUMA1	MED24	OGFR	NDUFA6													
	SIK1				NUCB2	PPIL5	RP3-467K16.4	IL12RB2			CREM	ENAH	FAM126B	IL10	CUBN	REREP3	TTYH2	WARS		CCL28	ZNF441	ACP5		RPS14				SERPINB1							MERTK				NUP50	MERTK	P2RY14	NDUFA7													
	BTG2				TMEM2	RAD51L1	APOBEC3G	ITFG1			CYC1	UBE2V1	PAK2	HIP1	VTA1	RAB25	PSMD4	CFH		POLH	LYSMD1	BCL2L11		RPL32				SAMSN1							MET				NUP98	MET	PARP12	NDUFA8													
	SKIL				ACTA2	GEN1	PLEKHF1	WDFY1			GTF3C6		N6AMT2	ASF1B	NBPF15	TSHZ3	FAS	RIPK2		PLXDC1	PIP4K2A	USP14		RPS25				ABI3							MIF				NUSAP1	MIF	PARP14	NDUFA9													
	CDC14A				C16ORF87	HIST1H2AO	UBE2Q2P1	IL21R			UBE2N		PSMD2	MT1L	AXIN2	TARP	PLEKHF1	STAT3		SLC38A2	TPST2	MIR155HG		RPL39				NOP58							MIOX				ODC1	MIOX	PDE4B	NDUFAB1													
	CDKN2C				SERPINE2	LOC100041230	SLC15A2	AC017002.2			MRTO4		HAX1	BACE2	NCAPH	S100B	CPNE7	CASP8		ADCY3	TMEM41A	TK1		RPL34				DUT							MPI				ODF2	MPI	PELI1	NDUFB1													
	CENPK				CASP9	HIST1H4H	PIK3R3	VPS54			PEBP1		MAP2K1	CASC5	CYSLTR1	RASGEF1A	PHLDA1	EIF4E3		MTX3	PLAUR	BIRC5		RPL10				ANXA5							MXI1				ORC5	MXI1	PFKP	NDUFB2													
	CCNB2				FLJ11795	HIST1H2AF	TESC	USP15			BATF		PSMC5	FAM124B	TCP11L2	DOCK3	RRP12	VAMP8		ZNRF1	YIPF6	TTYH3		EMB				YARS							NANP				ORC6	NANP	PIM1	NDUFB3													
	TPX2				INPP1	HIST1H2BG	DAB2	CHRNA6			DNPH1		MYO1C	CEP128	GLB1	KIAA0182	MCRS1	UBA7		KMT2D	TMED1	CASC5		RPLP2				VAPA							NASP				PAFAH1B1	NASP	PLA2G4A	NDUFB4													
	LMNB1				SGCE	HIST1H4D	RP11-20I20.4	TRIM71			IL4R		PRAF2	SCG5	CDHR3	ARAP3	ZBTB7B	IL10RA		IFNG	TRNT1	HELLS		RPS29				DYNLL1							NDST3				PAPD7	NDST3	PLSCR1	NDUFB5													
	GRN				MTUS1	DHFR	PALLD	XKRX			LCP2		TAB2	AKIP1	ARHGAP32	PLK1	RABAC1	PIAS1		SLC1A5	EPB41	NHS		RAP1B				HLA-DPA1							NDUFV3				PBK	NDUFV3	PML	NDUFB6													
	CCNA2				GRAMD3	HIST1H2AN	HLA-DPB1	SEC14L6			ITPA		RPS6KA1	MELK	SLC36A1	C17orf66	LMF2	IRF3		RBMS1	SNRNP35	CENPU						UBE2L6							NOL3				PDS5B	NOL3	PNP	NDUFB7													
	CENPE				HS.60257	HIST1H4I	GFOD1				PSMC3		GSTO1	RAD51	EPHA4	CDC6	OGG1	NCOA7		NKTR	TFDP2	BRCA1						STAT1							NSDHL				PLK1	NSDHL	PNPT1	NDUFB8													
	HELLS				HLA-A29.1	HIST1H2BH	TPST2				SEMA4D		JUN	HIST1H2BL	ACP5	TSPAN33	RFXANK	NOD1		MXRA7	SLC34A2	PDLIM7						PDIA6							NT5E				PLK4	NT5E	PRIC285	NDUFC1													
	BTG3				AFF3	HIST1H4C	LLGL2				PSMC4		AKT1	SRGAP2	SLC9A9	ZNF853	AP1G2	CAMK2G		ESYT2	MYC	C15orf53						BHLHE40							P4HA1				PML	P4HA1	PSMA2	NDUFC2													
	NFIL3				LOC440871	HIST1H2BA	FAM46A				ITGB7		UMPS	TPX2	FAM117B	PTCH1	PFKL	ARL4A		LINC00892	NTPCR	INPP5F						HSPB1							P4HA2				POLA2	P4HA2	PSMA3	NDUFS1													
	NR4A2				NCALD	GMNN	HDAC9				PFDN2		ITGAE	METTL7A	NBPF9	UNC13B	OPA3	SPPL2A		OGFRL1	DENR	APEX2						SOD1							PAM				POLE	PAM	PSMB10	NDUFS2													
	TRPS1				ANKRD55	E2F3	F8A1				GPX4		IL22	CLSPN	CCDC141	C1orf21	MAN1B1	RNF31		YBX3	SORL1	MCM2						PRDX5							PAXIP1				POLQ	PAXIP1	PSMB2	NDUFS3													
	IFI204				ATPGD1	CENPP	SUSD1				AGK		MAP3K8	CENPW	IKBKB	FGFBP2	ACAP1	IRF5		PARD6G	INIP	HJURP													PC				PRC1	PC	PSMB8	NDUFS4													
	HMGN3				AGMAT	HIST2H2AA1	SYNGR1				MDH1		STAT6	AURKA	FBLN5	KRT73	HDAC10	SLAMF7		KPNA4	FAM228B	RDH10													PDK3				PRIM2	PDK3	PSMB9	NDUFS6													
	NR4A3				TRIM32	ZFP367	PTCH1				MRPL24		BAK1	DTL	SH2D4A	PLCB1	GABBR1	HLA-B		TMEM212	SMG9	FUT8													PFKFB1				PRMT5	PFKFB1	PSME1	NDUFS7													
	ELL2				CPA5	PLP2	KIR2DS4				PTPN7		NFKBIB	DEXI	NOMO2	LOC100499405	CLU	SECTM1		CTLA4	POLR2E	MKI67													PFKP				PRPF4B	PFKP	PSME2	NDUFS8													
	TGIF1				MAPK6	SLBP	PODN				ACTB		TRAF6	GPR19	DENND5A	GPR56	CORO2A	ITGB7		MYADM	CD27	RYBP													PGAM1				PTTG1	PGAM1	PTGS2	NDUFV1													
	PLAGL1				KIAA0182	CDKN3	CRTAM				CCT2		PTPN2	CDCA5	SEPN1	LOC144571	SH3TC1	FAM46A		KLHL5	GUSB	MYO1E													PGAM2				PTTG3P	PGAM2	PTPN1	NDUFV2													
	IKZF2				NDFIP2	EG665955	GSE1				GTF3C1		CSF1	CENPA	MORC4	ZNF618	FNBP1L	TOR1B		KLHL6	LPCAT1	TOP2A													PGK1				PURA	PGK1	PTPN2	NNT													
	RORA				ANKRD35	RNASEH2B	RP11-25K19.1				SNRPB		IL4	FAM174B	ZNF512B	ME3	ANO9	SELL		C15orf53	TBC1D25	NDFIP2													PGLS				RACGAP1	PGLS	PTPN6	NQO2													
	HIF1A				UBE2E3	PBK	PATL2				NFKB1		PPP2R5D	TK1	FKBP8	A2M	DZIP3	CSF1		DAPK2	EFNA5	MAD2L2													PGM2				RAD21	PGM2	RAPGEF6	OAT													
	BATF				CNIH	WDHD1	SIGLEC17P				NAMPT		ARL4A	GINS2	TDP2	SLC4A4	RAB11FIP5	TRIM35		RBPJ	GSN	BRCA2													PHKA2				RAD23B	PHKA2	RBCK1	OGDH													
	ETV6				SEPN1	CDCA2	RP4-728D4.2				FAM195B		PSMA3	LMCD1	TMEM154	PACSIN1	PIDD	CD69		LRRC37A3	AGTPBP1	ITGA1													PKM				RAD54L	PKM2	RIPK1	OPA1													
	CSDA				LIMS2	DIAP3	IL10				NSMCE1		SQSTM1	SLC25A35	YBEY	EDAR	RAPH1	SOCS3		EPAS1	CST7	MAP3K6													PKP2				RASAL2	PKP2	RIPK2	OXA1L													
	EOMES				NETO2	WDR67	RPL39L				RHOC		GPR65	ACTG2	CD5	MS4A1	CRIP1	PIM1		NCOA7	GZMK	KRT81													PLOD1				RBL1	PLOD1	RNF213	PDHA1													
	FOSB				GLCCI1	GTSE1	CTB-91J4.1				IRF4		SKP1	SLC35E4	RNF214	SIGLECP3	TRAPPC5	RAPGEF6		PDCD1	RAB3D	GALNT2													PLOD2				RBM14	PLOD2	RNF31	PDHB													
	REL				FAAH2	ESPL1	CORO1C				CALR		CD81	SELPLG	TCEA3	DFNB31	HK1	IFNAR1		KRT86	FAM65A	MPST													PMM2				RPA2	PMM2	RSAD2	PDHX													
	TBX21				RPL39L	DSCC1	TRGV3				SNRPC		PSMD3	PTMS	UTS2	A2MP1	MIR22HG	RNASEL		CAPG	DENND6A	CEP41													POLR3K				RPS6KA5	POLR3K	RTP4	PDK4													
	ZEB2				SSH2	CENPM	GK5				COX5A		CD80	CDC20	CDK2AP2	ZCCHC18	MVP	RIPK1		CYP51A1	THOC3	ELK1													PPFIA4				SAP30	PPFIA4	SAMD9L	PDP1													
	NR4A1				PHACTR2	POLQ	RP11-229P13.19				ATP5J		CDKN1A	CHST7	PTK2	LOC100507421	STX1A	SOD2		SQLE	CCDC65	PPP1R21													PPIA				SETD8	PPIA	SAMHD1	PHB2													
	NFKBIA				ERMP1	CHAF1B	RASSF1				EIF4A1		PDCD2L	MCM4	FHIT	SOX13	LPAR6	IL18BP		PLEKHO1	ZNF786	DHFR													PPP2CB				SFPQ	PPP2CB	SECTM1	PHYH													
	CEBPA				C9ORF16	MCM4	TSPAN2				DBI		SOD2	CENPM	PACSIN2	PZP	FRY	PTPN2		TMED5	PLEKHJ1	CCDC50													PRPS1				SLC12A2	PRPS1	SELP	PMPCA													
	MAFF				TNFRSF18	2610318N02RIK	FUT11				FAM96B		IL3	CCNB2	POLR2I	C12orf33	CRY1	TRIM46		WNK1	ADRB2	PDE7B													PSMC4				SLC38A1	PSMC4	SERPING1	POLR2F													
	MAF				C1ORF198	CDC45L	GNPTAB				PRDX3		IL12RB2	AARD	ZBED6	FCRL6	KATNAL1	IL2RB		XIST	MINA	KIAA1524													PYGB				SLC7A1	PYGB	SLAMF7	POR													
	GABPB1				ANKS1B	ATP13A3	CD300A				CYP51A1		RPS6KA5	AC002331.1	CCDC124	KRT72	TRIM35	PRKCD		SPC25	IL11RA	ATL2													PYGL				SLC7A5	PYGL	SLC25A28	PRDX3													
	NFKBIZ				SOCS1	CHAF1A	PLA2G16				OGG1		PSMD4	AC011997.1	FAAH2	VNN2	PLCD1	HLA-G		KIF11	DPEP2	CARD6													QSOX1				SMAD3	QSOX1	SOCS1	RETSAT													
	PRDM1				LOC729816	TCF19	HBB				DAD1		STAM2	AC017002.1	RPS5	FLT4	MOSPD2	PDE4B		GOLIM4	TRAF3IP3	AGPS													RARS1				SMARCC1	RARS	SOCS3	RHOT1													
	CREM				FEN1	SGOL1	RAP2A				CD226		IL5	AC017002.2	SCML1	PTGDR	POLR3K	AUTS2		EPHA1-AS1	APOOL	CDKN2C													RBCK1				SMC1A	RBCK1	SOD2	RHOT2													
	FOSL2				PYHIN1	NDC80	RHBDF2				SYNGR2		TNFSF11	AC021188.4	AKTIP	STAP1	ELK3	ST3GAL5		UAP1L1	SLC4A1AP	CD200R1													RPE				SMC2	RPE	SP110	SDHA													
	ATF3				PTPN13	RAB18	DOCK5				ANAPC11		GALM	AC068491.2	SLC40A1	ENC1	B3GNT5	PTPN6		TUBA1C	GLYR1	SLC4A2													RRAGD				SMC4	RRAGD	SPPL2A	SDHB													
	ATF6				QPRT	RBBP8	SLC2A6				NOP16		MAPKAPK3	AC069547.1	GIMAP2	EOMES	MICAL2	TRIM68		LINC00341	HMHA1	ACSL4													SAP30				SNRPD1	SAP30	SRI	SDHC													
	STAT4				C20ORF55	LMNB1	ALYREF				FDPS		NOD2	AC093159.1	MKL2		ANKS1B	CDKN1A		CBFB	UNKL	LOC101928988													SDC1				SQLE	SDC1	SSPN	SDHD													
	ID2				ACTN1	CDC25C	SAP30				ANXA2		PSMB7	AC093616.4	PAFAH1B3		ISYNA1	IP6K2		ATL2	ING3	CDC6													SDC2				SRSF1	SDC2	ST3GAL5	SLC25A11													
	PAWR				MYO5A	KIF20B	PPP1R14C				EIF3I		IL10	AC108463.1	EMR1		PPARG	LPAR6		KCNC4	SNX27	LRRN3													SDC3				SRSF10	SDC3	ST8SIA4	SLC25A12													
	AR				ECOP	SCD2	RAB27B				OSTC		MYC	AC108463.2	PDCL		CTLA4	CASP3		KLF13	BBS2	TET2													SDHC				SRSF2	SDHC	STAT1	SLC25A20													
	JAZF1				MEIS3P1	INCENP	B4GALT5				SH2D2A		IL6ST	AC138517.1	IL4R		INPP5F	BPGM		LDB1	SLC39A11	ZWINT													SLC16A3				SS18	SLC16A3	STAT2	SLC25A3													
	IRF4				MGC33556	SLC43A3	FHAD1				NDUFB2		LIF	AC233263.1	PARP12		RCBTB2	ICAM1		SLC7A5P2	RAD52	TNFRSF18													SLC25A10				STAG1	SLC25A10	STAT3	SLC25A4													
	EGR2				POMT1	KIF18A	GZMM				TXN		SYT11	AKR7A2P1	ID3		PER3	ISOC1		GNB1	HRSP12	RHOC													SLC25A13				STIL	SLC25A13	STAT4	SLC25A5													
	NAB1				LAT	CCDC34	MTSS1				TMED9		STX1A	AMZ1	FIS1		ALOX5AP	NUP93		TRIM24	RRP7A	PALB2													SLC35A3				STMN1	SLC35A3	TAP1	SLC25A6													
	NFATC1				SYT11	D2ERTD750E	MAP3K8				CCDC124		NCS1	AP001189.4	LGALS9		GNRH1	PSMB2		CARS2	POLR3H	PMM2													SLC37A4				SUV39H1	SLC37A4	TAPBP	SUCLA2													
	ZBTB32				BCAS4	WDR76	C11orf21				HSP90B1		LCLAT1	ASPM	PASK		ROGDI	GZMA		CD226	DHFRL1	EPSTI1													SOD1				SYNCRIP	SOD1	TDRD7	SUCLG1													
	BCL6				INSIG1	DUT	LGALS1				HSPD1		EBI3	ASS1P1	IKBKE		AMY2B	SLC25A28		LOC440434	LPCAT3	WIPF3													SOX9				TACC3	SOX9	TNFAIP2	SUPV3L1													
	KLF4				ALPK2	GINS1	KIAA2013				ATP5F1		LGALS9	AURKB	LEF1		TEC	ARID5B		C1RL-AS1	C5AR1	LINC00539													SPAG4				TFDP1	SPAG4	TNFAIP3	SURF1													
	LITAF				LOC644132	MYBL2	IGJ				CCT6A		NKIRAS1	BCAS1	PPP1CA		ATG2A	P2RY14		SLAMF1	KIAA0020	LIMK1													SRD5A3				TGFB1	SRD5A3	TNFAIP6	TCIRG1													
	MCM6				WSB2	UBE2C	LINC00265				AC092580.4		ELK1	BFSP2-AS1	HAPLN3		ILK	GPR18		PDE4A	NUPL2	MAN1A1													STC1				TLE3	STC1	TNFSF10	TIMM10													
	HOPX				RAB11FIP1	MCM10	SERTAD3				ATP5G3		TAB3	BIRC5	PKP2		ZC2HC1A	LCP2		SEL1L3	TBCK	SAC3D1													STC2				TMPO	STC2	TOR1B	TIMM13													
	TSHZ2				NR3C1	PHF19	SLC25A20				CCT3		PLAGL1	BMPR1B	FLJ45983		KIFC2	GBP7		DOCK10	ARFGAP2	CKAP2L													STMN1				TNPO2	STMN1	TRAFD1	TIMM17A													
	SAP30				TRAF3IP2	STK39	SLC2A1				FKBP1A		RHOB	BUB1	PTGDR2		NPHP4	TRIM62		AGO2	BEX2	NAIF1													TALDO1				TOP1	TALDO1	TRIM14	TIMM50													
	BAZ1A				GINS2	OIP5	PTPRE				SNX10		TNFRSF12A	BUB1B	FLJ21408		WNT10A	HLA-DMA		TESK1	RAB29	AMZ1													TFF3				TOP2A	TFF3	TRIM21	TIMM8B													
	NFAT5				RFC5	NCAPH	EPHX4				PTPN6		CASP3	C10orf131	BAI2		MOB2	CD86		SLC7A5	SLC31A2	ZDHHC18													TGFA				TPX2	TGFA	TRIM25	TIMM9													
	MDFIC				FAM110A	CKAP2L	LAIR1				POLR2K		MAFF	C2orf48	LOC100507582		CRIP2	TRIM8		NR2C2	FERMT3	SDHAP1													TGFBI				TRA2B	TGFBI	TRIM26	TOMM22													
	PBX3				RILPL2	E2F1	MIR4435-1HG				NOP10		IFNAR1	C4orf50	CD79A		FRG1	TYK2		AP4B1-AS1	DENND2D	SSH1													TKTL1				TRAIP	TKTL1	TXNIP	TOMM70A													
	NT5E				IL2RB	DSN1	ARL15				LINC00152		IL27RA	C5AR2	EMR4P		TM9SF1	PFKP		ANKRD32	SIGLEC9	GINS3													TPBG				TROAP	TPBG	UBE2L6	UQCR10													
	MS4A6D				ASAP1	AURKA	RP11-180P8.3				TARS		PPP2CB	C9orf139	RFX8		CTTNBP2NL	EGR1		NPIPB5	ATF6B	CASP9													TPI1				TTK	TPI1	UPP1	UQCR11													
	GABARAPL1				GK	PLK4	TFDP2				RBM17		CREB1	CCR1	KCNC3		ARFGAP1	LATS2		DOK6	PATL2	ITGA2													TPST1				UBE2C	TPST1	USP18	UQCRB													
	TJP2				TSPAN5	HIST2H2BB	MT1E				DCTPP1		TNFRSF1A	CD93	EBF1		DECR2	CCL5		RASA1	GRN	MZB1													TSTA3				UBE2S	TSTA3	VAMP5	UQCRC1													
	B3GNT5				ALDH5A1	4930422G04RIK	RHOC				RNF19A		CLCF1	CDC25A	RAMP3		NR1D1	PNP		PITPNA	ERI1	VCAM1													TXN				UCK2	TXN	VAMP8	UQCRC2													
	MS4A4C				TIAM1	H2AFZ	TSPAN32				EIF6		IL1RL1	CDC45	LOC100505806		KCNQ1OT1	ABCE1		SMG1P3	NCALD	TIAM2													UGP2				UPF1	UGP2	VCAM1	UQCRFS1													
	LY6A				CBLB	TRIM59	STK39				MRPL4		IL23R	CDCA2	SRGAP3		MIAT	CAMK2D		TYMP	FCGR2B	SLC27A2													VCAN				WHSC1	VCAN	WARS	UQCRH													
	SLAMF6				C3ORF37	HIST2H4	FNDC3B				WDR1		APP	CDHR3	ZP1		ZNF668	IL4R		ATF3	KIR2DS4	XYLT1													VEGFA				WRN	VEGFA	XAF1	UQCRQ													
	PRNP				CLINT1	GPSM2	SLC25A4				PHPT1		PIK3CB	CDK14	DRP2		DGKA	STAT4		CEP97	ZBTB9	ADAMTS17													VLDLR				XPO1	VLDLR	XCL1	VDAC1													
	TSPAN3				SMPDL3A	RAD54B	PPM1L				XCL2		PSMC3	CDT1	ANKRD55		DPM3	IFNGR2		KIAA0513	MED19	IL18RAP													XYLT2				YTHDC1	XYLT2	ZBP1	VDAC2													
	CD83				C6ORF105	F730047E07RIK	RNPEPL1				YIF1A		PSMF1	CEND1	NEFL		MLF1	PELI1		CCR6	MYO1F	ACOT7													ZNF292				ZAK	ZNF292	ZNFX1	VDAC3													
	MYADM				C7ORF44	MELK	CD81				PSMB6		LRRC8C	CENPE	SLC22A23		FAM53B	IFNG		CPSF2	RRN3P2	SNX9																																	
	ENPP1				SIPA1L2	SMC2	YPEL1				BCL2		RORA	CENPF	CYP4F12		FAM13A	PTPN11		METTL21A	POLR2C	GPA33																																	
	GPR68				JARID2	2610002D18RIK	MCTP2				PRDM1		BCL2	CIT	AR		SIGIRR	PTGS2		ASTN2	CYTH1	UHRF1																																	
	CTLA2A				C1ORF85	GM12387	MIAT				RAP1A		TOLLIP	CKAP2L	ATPAF1-AS1		SPATS2L	SRI		VMA21	NFYC-AS1	GMNN																																	
	TSPAN2				ORMDL3	CDKN2C	PRR5				CYCS		ITGAV	CLDN4	TLR5		ZC3H12D	IFNGR1		C20orf194	NFIA	CDCA3																																	
	MARVELD2				PGAM4	CDC20	HLA-DRB5				SRI		PTPN6	COL9A2	CHST2		GLUL	SUMO1		NASP	DTX3	RMND1																																	
	POPDC2				TSHR	ATPIF1	FEZ1				SNRPE		TAB1	CPE	ARHGEF4		EPHB6	FGL2		C1QTNF6	NCBP2-AS2	PDE4A																																	
	CD82				BAZ2B	HMGN2	IFIT2				POLR2E		MYD88	CREG2	RBM47		RARG	HLA-DPA1		PDE7A	C2orf74	RIC1																																	
	ABCB1A				ATP6V1D	CENPA	ABHD17B				NEDD9		MAP3K7	CTC-232P5.1	CDO1		TNFRSF9	HLA-DQA1		KLHL2	PTRHD1	CDKN3																																	
	PLOD2				LOC653566	WHSC1	SNTB2				C19orf10		STX4	CTC-490G23.2	MIR4440		VCL	IRF8		WRNIP1	SATB1	KCTD9																																	
	RAET1B				C12ORF35	DCK	DPY19L1				ZFP36L1		CANX	CTD-2325P2.2	NRN1		CD109	IFNAR2		PPP1R15B	PIGW	EMC9																																	
	TNFRSF18				ZFPM1	POLE	ZNF365				NDUFAB1		FBXW11	CTD-2325P2.3	PPP1R26		TBC1D4	HLA-DRA		PDS5A	ARMT1	NUDT14																																	
	MT1				TM2D3	RFC2	RAB27A				EIF5A		IL17RB	CTD-2510F5.4	LIMS2		TSHZ2	TNFAIP3		LOC101927482	TESPA1	CD226																																	
	ATP2B1				RAB37	BRCA2	EPS8L1				ILF2		PLSCR1	DEPDC1B	CHGB		ISG15	UPP1		MBOAT2	HHLA3	AZIN2																																	
	ENPP2				GPR19	DBF4	SLC4A4				SEC61B		KLF6	DLGAP5	DGCR10			HLA-DRB5		HAUS2	PHACTR2	CDK1																																	
					F2R	TYMS	SLC1A7				RBM3		CXCL13	DOCK6	GCNT4			NFKB1		RALGAPB	EAF1																																		
					SRPK2	ADAP1	RP11-337C18.8				IL21R		PIK3R2	DSCC1	CHRNA6			XCL1		MAP4	CDIPT																																		
					BIK	LANCL2	CTBP2				PHB		MAPKAPK2	E2F2	CYBRD1			IRF4		NPIPB4	TSC1																																		
					FBXO33	ALMS1	PLXND1				MAP2K3		PIK3CA	E2F7	LOC348761			HLA-DPB1		CASS4	PPME1																																		
					MAPKAPK3	FANCD2	FAM179A				C11orf31		PSMB8	E2F8	LOC100506804			CD44		IRF4	PCMTD2																																		
					PTPN2	FOXM1	PHLDB2				NOP14		CD38	EEF1A2	SELP			HLA-DQB1		FAM134B	LINC00116																																		
					LBH	ASNS	AGPAT4				PSMD8		PTGS2	EVA1B	CLIP3			HLA-DRB1		FAM101B	LYAR																																		
					PTPN7	ZC3HAV1	SLC25A29				PPA1		IL8	EXO1	DPF3			ST8SIA4		EXOC8	ELMO2																																		
					UBE2G1	EZH2	CXCR1				CD70		MUC1	FAM110C	PDLIM1			MTHFD2		HIPK1	CYB561																																		
					SH3RF3	NCAPD2	GS1-115G20.1				SLC1A5		PSMA8	FAM111B	C21orf56			NFKBIA		CD96	NQO2																																		
					FHL2	RAD51AP1	AXIN1				BCL7C		RAPGEF1	FAM179A	BUB1			BTG1		FAM102A	CSF3R																																		
					TJP2	HIST4H4	ACTN4				NUTF2		GABARAPL1	GFRA2	LINC00173			NAMPT		UBE2Q2P1	CARD8-AS1																																		
					IFNAR2	LIG1	CERCAM				ACADVL		STAT5B	GK-AS1	KALRN			BATF2		MDFIC	RSBN1L																																		
					VOPP1	FANCI	STX7				YWHAQ		HAVCR2	GREB1	SUSD4			C1S		FAM102B	CIAPIN1																																		
					LOC728069	5730590G19RIK	RNF187				ACAA2		CD86	GS1-204I12.4	TRIM2			CCRL2		PPP3R1	DOK1																																		
					IRF4	RRM1	SYTL3				VDAC1		MAPK14	GTSE1	DBNDD1			FAM125A		SACS	DCP1B																																		
					CDK6	WEE1	TFEB				CDK6		IL17RA	HAP1	CHN2			FTSJD2		MAPKAPK2	MANBA																																		
					FAM164A	CCNE1	RP11-73O6.3				SNRPD1		BHLHE40	HES1	GBGT1			GMPR		ACSL4	MTSS1																																		
					HIF1A	DUB2A	AGAP1				RANBP1		IRAK3	HIST1H2BH	PLXNA4			IL7		PI4KA	ITGA5																																		
					P2RX5	KIF22	HOMER1				TUBB4B		TALDO1	HJURP	TCTEX1D4			PRIC285		HOPX	CD300A																																		
					CXCR4	RFWD3	PYHIN1				SMS		RRAGD	HLA-DOA	PFN1P2			PROCR		DENND1A	POLR3F																																		
					TMEM99	CASP3	APOBEC3C				SEC11C		ITGA4	HLA-DQA2	TMIE			HLA-H		TMIGD2	CPNE8																																		
					FYN	MT1	LAG3				HSPA5		PTPN13	HLA-DQB1-AS1	ZSWIM1			FCGR1A		SKI	DUS3L																																		
					DCUN1D3	CENPN	EXTL2				VASP		NCOA3	HLA-DQB2	MIR221			FCGR1B		RAB21	CDC26																																		
					HS.542413	CKAP2	SYNE1				YARS		CUL1	HMCN1	COL1A1			CAMK2B		PCNXL3	TGFBR3																																		
					BATF	IFI30	LPCAT1				TRAF1		FAH	HMOX1	CPNE2			CAMK2A		MAT2A	HDDC2																																		
