tcell_activation_GO.0042110	cd4tcell_exhaustion_crawford	tcell_costimulation_chen	cell_anergy_safford	cell_senescence_fridman	tfh_signature_locci	cell_cycling_best	cell_cytotoxicity_patil	treg_signature_simone	tfr_signature_guo	tcell_activation_flu	cd8_activation_covid19	tcr_signaling_RHSA202403	tcell_interleukin_seumois	treg_signature_schmiedle	th2_signature0_arlehamn	th1_signature1_arlehamn	th17_signature2_arlehamndan	type1n2_interferon_broadreact	th2_il9_micosse	trm_lung_clarke	nontrm_lung_clarke	trm_tumor_clarke	nontrm_tumor_clarke	cluster5_sctrm_clarke	cluster2_sctrm_clarke	cluster3_sctrm_clarke	cluster4_sctrm_clarke	dixhaust_consensus1_vj	dixhaust_consensus2_vj	tcell_cytotoxicity_guo	tcell_virusresponse_fuchs	temra_signature1_pereira	temra_signature2_pereira	temra_signature6_pereira	hallmarkglycolisis_signature_gsea	glycolysisgluconeo_signature_kegggsea	early_eff_late_mem_v_key_best	g0n1_signature_dolatabadi	hallmark_g2m_checkpoint	hallmark_glycolysis	hallmark_interferon_gamma_response	hallmark_oxidative_phosphorylation	hallmark_reactive_oxigen_species	initial_cytokine_or_eff_resp_i_key_best	late_eff_or_mem_x_key_best	late_mem_specific_best	mem_precursor_vii_key_best	mem_specific_6_best	naive_late_mem_iv_key_best	naive_or_late_eff_or_mem_viii_key_best	naive_tcm_tem_eff	reactome_interferon_gamma_signaling_biw	short_term_eff_mem_vi_key_best	short_term_eff_or_mem_ix_key_best	st_ifng_biw
IL2	ARHGAP5	TNFRSF25	DDR1	F3	HEYL	NCAPG2	TRGV9	RP11-105N14.1	ENTPD1	GAPDH	AK2	CARD11	AHCY	FANK1	HTR2B	GZMK	PTPN13	USP18	BCL3	CLDN11	SELL	AFAP1L2	FAM65B	RORA	HAVCR2	HSD17B7		HLA-DMA	HLA-DMA		FABP5	GZMA	CFL1	ITGB1	B3GAT1	ALDOA		GMNN	CCNF	B3GAT1	CCL5	ATP5G1	IPCEF1									HLA-DQA1			
IL21	ENKUR	HLA-DR3	DLG2	FILIP1L	C11ORF75	C79407	CST3	SEMA3G	TYMP	GARS	NDFIP1	CUL1	PSMA2	ENTPD1	SLC9A7	ARHGAP26	PROK2	IFI44	LYL1	KIAA1551	KLF3	KLRC1	PZP	BTG2	AMICA1	NUDT4		ITGAE	ITGAE		PAM	FCGR3A	HLA-DRB1	ANXA1	B3GAT3	ALDOB		EWSR1	CCNT1	B3GAT3	CCL7	ATP5G2	JUNB									HLA-DQA2			
IL27	JAK2		DTNA	FN1	ATP9A	HIST1H3G	AC009951.1	TSPAN5	VDR	HSP90AB1	NDUFA4	CD247	IL2	CD70	RHBDD2	FGF9	MAP3K4	SP100	CCR4	ADAM19	ZNF365	GOLIM4	KLRF1	MYADM	ALOX5AP	NR4A1		UBE2F	UBE2F		SNRPB	ITGB2	DUSP2	GZMA	B3GNT3	ALDOC		RUNX1	CDC20	B3GNT3	CD274	ATP5G3	LSP1									HLA-DRB1			
IL4	MARCKSL1		DUSP6	GSN	KIAA1671	HIST1H2BM	EFHD2	VDR	ASB2	HSP90B1	FDFT1	ITK	ODC1	FAM129A	FGFR1	IL18RAP	DSE	IFI35	NCKAP5L	MIR6723	JUNB	CXCL13	DHRS3	ANKRD28	AC002331.1	DNAJA4		NDFIP2	NDFIP2		MTHFD2	TMSB4X	TMSB4X	TMSB4X	B4GALT1	BPGM		ATF3	CDC25A	B4GALT1	CD38	ATP5H	MBP									HLA-DRB3			
IL7	ASAP1		EGR2	GUK1	SGPP2	HIST1H2BE	CTSW	IL1R1	BEX3	HSPA5	MCOLN2	CD3G	TCP1	HLA-DPB1	CIRH1A	LAG3	POLR2L	BST2	PRR5L	FMNL3	RAP1GAP2	AKAP5	FCGR3B	MCL1	AC092580.4	MB21D1		CD63	CD63		ILF2	KLRD1	GZMB	IFITM2	B4GALT2	DLAT		GAPDH	CDC25B	B4GALT2	CD40	ATP5I	MGST1									HLA-DRB5			
INS	ROCK2		ETV6	HBS1L	BCL6	RP23-38E20.1	FGR	AC133644.2	ID3	HSPA9	TIMM17A	PRKCQ	NOP2	JAKMIP1	ARID5B	YES1	TMSB10	PLSCR1	CCL3	MYO7A	A2M	HAVCR2	CX3CR1	PNRC1	SIRPG	SERPINH1		FKBP1A	FKBP1A		RBM3	RAP1B	MYL6	HLA-C	B4GALT4	DLD		RPL7	CDC27	B4GALT4	CD69	ATP5J	MPO									HLA-F			
JAG2	GPR155		F2R	HPS5	EGR2	HIST1H2BB	TTC38	HNRNPA1P21	MAP2K3	HSPD1	PSMB2	IKBKB	PSME3	LAIR2	PARVB	GNLY	CDCA7	TRIM22	CDKN2D	LOC643406	PLEKHG3	KIR2DL4	RASA3	TUBA1A	HLA-DRA	DONSON		TPI1	TPI1		SHMT2	PFN1	CTSW	C12orf75	B4GALT7	ENO1		POU5F1	CDC45	B4GALT7	CD74	ATP5J2	MSRA									HLA-G			
LAT	SLA		FBXO34	HSPA2	LGMN	HIST1H2AB	FAM49A	USP51	CCL22	HSPE1	SNRPD3	PSMD9	PSMD14	BATF	UCHL3	RASGRF2	CHN1	RSAD2	FAM169A	AMICA1	ITGB2	CD63	C1orf21	CD44	CD74	ZFAND2A		CDCA8	CDCA8		CD82	GPR56	HLA-DRB5	CD99	BIK	ENO2		CBX3	CDC6	BIK	CD86	ATP5L	NDUFA6									HLA-K			
LAX1	PRKCA		FOXP1	HTATIP2	CD79A	HIST1H3F	TBX21	TNFRSF9	GAPDH	IER3	TOMM22	PSMF1	SLC1A5	CCR8	IL6ST	APOBEC3H	DYNLL1	HERC6	TCEAL4	VIM	FGR	PHLDA1	ATM	YPEL5	SRGAP3	TSPYL2		NCAPG2	NCAPG2		HSPD1	CD99	IL32	TMSB10	BPNT1	ENO3		RB1	CDC7	BPNT1	CDKN1A	ATP5O	NDUFB4									ICAM1			
LCK	LRRFIP2		FURIN	IFI16	KIAA1324	HIST1H4B	FGFBP2	TNFRSF4	AHSP	IFNG	NAA10	MAP3K7	STAT5A	ETV7	FNIP2	OAF	ZNRF1	SP110	GRASP	PRKDC	FAM169A	CHRM3-AS2	A2M	PTGER4	HLA-DPA1	UGP2		CDKN3	CDKN3		SERBP1	ACTB	ARPC2	ITGB2	CACNA1H	FBP1		MDM2	CDK1	CACNA1H	CFB	ATP6AP1	NDUFS2									IFNG			
